"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_pageviews","used_sizeguide_order","used_sizeguide_quantity","used_sizeguide_turnover","used_sizeguide_return_quantity","sizeguide_not_used_pageviews","sizeguide_not_used_order","sizeguide_not_used_quantity","sizeguide_not_used_turnover","sizeguide_not_used_return_quantity"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT OUTFIT","FORCLAZ","TROUSERS",8758755,"8370",819,"941","20073.99999999998","340","11008",2173,"2452","52964.18","868"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W L1 SH PANT","QUECHUA","TROUSERS",8603726,"7678",3479,"4174","57242.22999999998","1888","9685",10856,"13009","170352.50999999934","6222"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MH TS PANT","QUECHUA","TROUSERS",8569504,"7519",905,"977","10984.529999999984","430","16805",3667,"3968","46411.90000000002","1658"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT OUTFIT","FORCLAZ","TROUSERS",8605569,"7370",1100,"1323","28272.930000000055","614","6963",3122,"3583","81539.61000000003","1543"
"CLOTHING","CYCLING UNIVERS","URBAN/FOLDING B","RAIN WEATH APP","BTWIN","OVERTROUSERS",8402040,"7315",3121,"3573","70936.56","727","11836",10918,"12790","254792.6499999999","2549"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WARM WAT SPRING","OLAIAN","SURF SHORTY WETSUIT",8403220,"7276",3393,"4460","57034.36000000001","1588","11043",21163,"28225","379788.7799999994","9006"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","MEN SKI B.LAYER","WEDZE","BASELAYER BOTTOM",8510030,"6149",5897,"8829","52348.110000000015","1325","5127",17447,"33008","200226.1399999996","3975"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WARM WAT SPRING","OLAIAN","SURF SHORTY WETSUIT",8403221,"6110",979,"1190","8501.489999999993","339","8004",4576,"5727","42917.03999999999","1417"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M TT APP OUTFIT","FORCLAZ","TROUSERS",8572546,"5575",879,"1067","19879.379999999994","504","5975",2742,"3343","70786.14000000004","1355"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT OUTFIT","FORCLAZ","ZIP OFF TROUSERS",8666242,"5442",2008,"2496","38439.11000000002","1207","4765",5632,"6962","105833.57","3419"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI B.LAYER","WEDZE","BASE LAYER",8510031,"5286",4832,"6496","37681.14000000003","1090","6064",15627,"22134","128836.37000000008","3643"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI CLOTH OCC","WEDZE","SKI TROUSERS",8563097,"5084",1762,"2251","39240.14999999996","1463","9323",6063,"7527","132149.55999999944","4867"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W PANTS/TS NH","QUECHUA","TROUSERS",8554842,"4800",820,"922","7732.699999999971","392","7114",4462,"4960","43586.45999999999","2002"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","UNDER TS JR","KIPSTA","TIGHTS",8619329,"4759",4103,"5655","64716.180000000044","662","10117",23228,"33196","382180.7199999993","3721"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","MEN SKI B.LAYER","WEDZE","BASE LAYER",8510029,"4655",4965,"7416","44596.23000000006","1028","5892",15440,"29887","183926.69999999978","3236"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","REG W COLD WTHR","KALENJI","LEGGINGS",8552601,"4602",2096,"2438","24797.620000000024","794","7734",7916,"9290","97310.14999999995","2893"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WARM WAT SPRING","OLAIAN","SURF SHORTY WETSUIT",8403222,"4527",2272,"2976","40011.880000000034","961","8120",13780,"17588","240077.48000000016","5475"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI B.LAYER","WEDZE","BASELAYER BOTTOM",8510033,"4220",3705,"4815","26834.610000000033","967","3918",11740,"16276","90916.25000000013","3217"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MT OUTFIT","FORCLAZ","ZIP OFF TROUSERS",8758761,"4214",341,"387","7318.119999999989","199","6292",1152,"1259","25883.470000000012","604"
"CLOTHING","WATER SPORTS UN","SNORKELING SCUB","SNORKELING TOP","SUBEA","NEOPRENE SHORTY",8380963,"4195",1026,"1267","14098.759999999953","643","4896",6127,"7612","86551.93999999999","3803"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WARM WAT SPRING","OLAIAN","SURF SHORTY WETSUIT",8403223,"4091",1490,"1873","24065.370000000003","907","3163",5371,"6928","93388.60000000003","3186"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIMMING COSTUME",8547142,"4056",1259,"1585","9887.989999999962","584","5618",6073,"8255","52918.76999999997","2932"
