"category_name","universe","department","family","brand","product_nature","model_code","used_sizeguide_turnover","sizeguide_not_used_pageviews","sizeguide_not_used_order","sizeguide_not_used_quantity","sizeguide_not_used_turnover","sizeguide_not_used_return_quantity"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT OUTFIT","FORCLAZ","TROUSERS",8758755,"20073.99999999998","11008",2173,"2452","52964.18","868"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W L1 SH PANT","QUECHUA","TROUSERS",8603726,"57242.22999999998","9685",10856,"13009","170352.50999999934","6222"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MH TS PANT","QUECHUA","TROUSERS",8569504,"10984.529999999984","16805",3667,"3968","46411.90000000002","1658"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT OUTFIT","FORCLAZ","TROUSERS",8605569,"28272.930000000055","6963",3122,"3583","81539.61000000003","1543"
"CLOTHING","CYCLING UNIVERS","URBAN/FOLDING B","RAIN WEATH APP","BTWIN","OVERTROUSERS",8402040,"70936.56","11836",10918,"12790","254792.6499999999","2549"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WARM WAT SPRING","OLAIAN","SURF SHORTY WETSUIT",8403220,"57034.36000000001","11043",21163,"28225","379788.7799999994","9006"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","MEN SKI B.LAYER","WEDZE","BASELAYER BOTTOM",8510030,"52348.110000000015","5127",17447,"33008","200226.1399999996","3975"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WARM WAT SPRING","OLAIAN","SURF SHORTY WETSUIT",8403221,"8501.489999999993","8004",4576,"5727","42917.03999999999","1417"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M TT APP OUTFIT","FORCLAZ","TROUSERS",8572546,"19879.379999999994","5975",2742,"3343","70786.14000000004","1355"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT OUTFIT","FORCLAZ","ZIP OFF TROUSERS",8666242,"38439.11000000002","4765",5632,"6962","105833.57","3419"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI B.LAYER","WEDZE","BASE LAYER",8510031,"37681.14000000003","6064",15627,"22134","128836.37000000008","3643"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI CLOTH OCC","WEDZE","SKI TROUSERS",8563097,"39240.14999999996","9323",6063,"7527","132149.55999999944","4867"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W PANTS/TS NH","QUECHUA","TROUSERS",8554842,"7732.699999999971","7114",4462,"4960","43586.45999999999","2002"
"CLOTHING","TEAMSPORTS UNIV","SOCCER / FUTSAL","UNDER TS JR","KIPSTA","TIGHTS",8619329,"64716.180000000044","10117",23228,"33196","382180.7199999993","3721"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","MEN SKI B.LAYER","WEDZE","BASE LAYER",8510029,"44596.23000000006","5892",15440,"29887","183926.69999999978","3236"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","REG W COLD WTHR","KALENJI","LEGGINGS",8552601,"24797.620000000024","7734",7916,"9290","97310.14999999995","2893"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WARM WAT SPRING","OLAIAN","SURF SHORTY WETSUIT",8403222,"40011.880000000034","8120",13780,"17588","240077.48000000016","5475"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI B.LAYER","WEDZE","BASELAYER BOTTOM",8510033,"26834.610000000033","3918",11740,"16276","90916.25000000013","3217"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MT OUTFIT","FORCLAZ","ZIP OFF TROUSERS",8758761,"7318.119999999989","6292",1152,"1259","25883.470000000012","604"
"CLOTHING","WATER SPORTS UN","SNORKELING SCUB","SNORKELING TOP","SUBEA","NEOPRENE SHORTY",8380963,"14098.759999999953","4896",6127,"7612","86551.93999999999","3803"
"CLOTHING","WATER SPORTS UN","SURF BODYBOARD","WARM WAT SPRING","OLAIAN","SURF SHORTY WETSUIT",8403223,"24065.370000000003","3163",5371,"6928","93388.60000000003","3186"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIMMING COSTUME",8547142,"9887.989999999962","5618",6073,"8255","52918.76999999997","2932"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W MH TS PANT","QUECHUA","ZIP OFF TROUSERS",8502252,"6217.929999999984","4259",2025,"1960","31219.610000000026","921"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W L1 SH PANT","QUECHUA","TROUSERS",8529113,"9898.229999999983","4212",2213,"2507","41722.47000000003","1753"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M L1 SH PANT","QUECHUA","TROUSERS",8582600,"38722.27000000002","3863",2950,"3583","99050.80999999994","1606"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W JACKETS NH","QUECHUA","OVERTROUSERS",8408195,"22849.969999999983","4607",8420,"9775","107962.92000000004","3665"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","W RUN UNDERWEAR","KALENJI","SPORTS BRA",8549607,"8961.449999999966","1966",2229,"2690","25685.229999999985","1011"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","W SKI CLOT IREG","WEDZE","TROUSERS",8602800,"45452.42999999999","3646",4467,"5639","152417.8399999998","3087"
"CLOTHING","WATER SPORTS UN","SWIMMING AQUAGY","W'S SWIMSUITS","NABAIJI","SWIM TOP",8500460,"11989.249999999955","3207",10107,"12672","54755.84000000002","6453"
"CLOTHING","HIKING TREKKING","WOMEN HIKING AN","W TT APP OUTFIT","FORCLAZ","LEGGINGS",8577944,"10546.639999999976","6638",2194,"2390","46450.100000000035","900"
"CLOTHING","HIKING TREKKING","MEN HIKING AND","M MT OUTFIT","FORCLAZ","ZIP OFF TROUSERS",8605572,"39232.10000000004","2362",3801,"4684","132002.25000000003","2016"
"CLOTHING","HORSE RIDING UN","EQUESTRIAN SPOR","JR RIDING WEAR","FOUGANZA","BREECHES",8320128,"19907.399999999976","5150",8469,"10010","103690.56999999998","2565"
"CLOTHING","WINTER SPORTS U","SKI FREESKI SNO","CHILD SKI BL","WEDZE","BASELAYER BOTTOM",8343743,"39509.13000000005","7673",23751,"36890","186122.29999999926","5816"
"CLOTHING","FITNESS WELLNES","FITNESS TRAININ","WOMAN TS LEGG","ADIDAS","LEGGINGS",8624217,"17250.98999999998","5747",4160,"4603","69664.71","970"
"CLOTHING","RUNNING WALKING","RUNNING TRAIL A","W RUN UNDERWEAR","KALENJI","SPORTS BRA",8563081,"6671.319999999989","2220",4892,"6028","21258.93","2014"
